inj_tot_t,ev_time,ev_year,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_vel_kts,gust_kts,inj_tot_f,inj_tot_s,inj_tot_m,dec_latitude,dec_longitude,total_seats,num_eng,afm_hrs_last_insp,rwy_len,acft_year,power_units
1,2345,2017,3000,0,10,64,59,4,0,0,0,1,43.294998,-78.214996,2,1,4,4000,2000,100
1,1630,2022,0,0,10,68,50,4,0,0,0,1,34.263778,-116.85602,2,1,100,5850,2004,100
2,1943,2019,0,0,10,0,0,15,25,2,0,0,30.678333,-98.417503,2,1,28.89999962,2600,2005,100
1,1616,2021,0,0,10,72,57,7,0,0,0,0,26.001222,-80.240722,2,1,3.700000048,3350,2005,100
1,100,2022,0,0,10,57,28,3,0,0,0,0,38.724227,-120.7533,2,1,50,3914,2005,100
1,1515,2022,0,0,10,30,27,3,0,0,0,1,40.91,-117.79417,2,1,42,4800,2005,100
2,1600,2015,10000,10000,10,63,55,13,0,2,0,0,27.456388,-81.342498,2,1,9,4990,2005,100
1,1812,2014,5000,5000,10,84,66,4,0,0,0,0,33.973609,-83.957496,2,1,16,6000,2005,100
1,1450,2017,3700,0,10,77,63,10,0,0,0,0,30.774723,-81.754447,2,1,27,836,2006,100
2,1740,2020,0,0,10,64,36,4,0,0,0,2,39.930892,-84.013546,2,1,4,2000,2006,100
1,2103,2017,5500,0,10,75,55,13,0,1,0,0,42.219722,-91.158332,2,1,28,2316,2006,100
2,1530,2017,2400,0,10,75,64,10,0,0,2,0,29.25,-81.459442,2,1,9,2600,2006,100
2,1837,2013,0,0,10,70,55,5,0,0,0,0,38.939502,-75.880744,2,1,39,3214,2006,100
1,10,2017,0,0,10,75,66,5,0,0,0,0,40.821945,-72.866943,2,1,22,4200,2006,100
1,1415,2015,0,0,10,84,66,3,0,0,0,0,31.950277,-85.129165,2,1,5.699999809,5000,2006,100
1,5,2015,20000,0,10,86,41,12,0,0,0,0,37.511943,-122.249443,2,1,5,2600,2007,100
2,2215,2017,0,1800,10,45,41,12,0,0,0,1,44.578609,-124.06277,2,2,13,3000,2007,100
2,2215,2017,0,1800,10,45,41,12,0,0,0,1,44.578609,-124.06277,2,2,13,3000,2007,100
1,1820,2022,0,0,10,84,55,3,0,0,0,1,28.641667,-81.885,2,1,66,3400,2007,100
2,1930,2016,0,0,9,93,72,12,0,0,0,2,29.733333,-96.059165,2,1,0,3450,2007,100
1,2130,2016,11000,0,10,63,46,4,0,0,0,0,30.532499,-91.315002,2,1,17,3500,2007,100
1,1545,2022,4500,5000,10,36,21,12,0,0,0,0,41.594222,-109.06519,1,1,2,5228,2007,100
1,2130,2013,0,2900,8,70,59,7,0,0,0,0,48.470554,-122.421669,2,1,6,5478,2007,100
1,2350,2014,0,0,10,79,34,6,0,0,0,0,36.030834,-119.059722,2,1,40,5960,2007,100
2,1930,2018,3500,0,10,75,43,12,16,0,0,2,29.659444,-81.669166,2,1,21,6000,2007,100
1,1307,2013,8000,0,10,79,75,4,0,0,0,0,39.039688,-77.479164,2,1,10,8499,2007,100
2,1326,2016,0,0,10,79,64,6,0,0,0,2,40.465831,-83.285003,2,1,4,1600,2008,100
1,2145,2015,5500,0,10,81,50,5,0,0,0,0,36.732498,-119.820831,2,1,2,3627,2008,100
1,1837,2016,0,0,10,64,0,10,20,0,0,0,33.875556,-84.30194,2,1,15,3746,2008,100
2,2000,2020,0,0,10,84,50,7,0,0,0,0,33.756247,-84.880165,2,1,13,4500,2008,100
1,2032,2016,0,0,10,64,52,10,19,0,0,0,34.02111,-118.445274,2,1,61,4973,2008,100
2,1430,2011,0,0,10,48,36,5,0,2,0,0,43.641944,-116.635559,2,1,42,5500,2008,100
2,1321,2016,1700,5000,10,66,63,8,0,1,1,0,43.779998,-88.488891,2,1,135,5941,2008,100
1,1800,2019,4800,0,10,88,68,14,0,0,0,0,36.395832,-85.641387,2,1,13,3500,2009,100
2,2327,2016,0,0,10,64,12,10,16,2,0,0,36.032775,-106.047225,2,1,18,5007,2009,100
1,1830,2013,0,0,10,46,34,4,0,0,0,0,44.384445,-124.084999,2,1,12,2000,2010,100
2,1555,2012,0,0,10,64,36,3,0,0,0,0,33.161109,-84.361114,2,1,5,2400,2010,100
1,1500,2014,8000,0,10,43,9,7,0,0,0,0,40.102779,-104.70111,2,1,30,2500,2010,100
1,2115,2014,6000,6000,9,52,36,6,0,0,0,0,41.773612,-88.705558,2,1,52,2640,2010,100
2,1630,2014,14000,0,10,48,27,11,0,0,0,0,40.758335,-73.053611,2,1,49,2740,2010,100
1,1710,2020,8000,0,10,63,28,7,18,0,0,0,41.791667,-111.851669,2,1,47,4075,2010,100
2,1600,2018,0,0,7,90,75,10,0,0,0,0,27.181667,-80.221389,2,1,25,4998,2010,100
1,1900,2018,0,0,10,79,54,15,0,0,0,1,26.925277,-82.001113,2,1,8,5680,2010,100
1,2200,2015,0,0,40,54,45,4,0,0,1,0,41.055831,-72.360832,2,1,20,1800,2011,100
1,2300,2014,0,0,10,75,54,4,0,0,0,0,39.143611,-78.144447,2,1,5,5498,2011,100
1,1515,2015,0,0,10,70,52,8,0,0,0,1,42.515834,-79.259162,2,1,69,6000,2011,100
1,2138,2014,0,0,10,75,52,6,0,0,0,1,48.792778,-122.537498,2,1,37,6701,2011,100
1,2000,2021,0,6000,10,86,72,4,0,0,0,1,39.604833,-78.745833,2,1,321,2120,2012,100
1,1750,2015,0,0,10,79,57,8,0,0,0,0,41.585556,-70.540275,2,1,33,2298,2013,100
2,1837,2018,25000,0,10,59,34,8,0,1,1,0,30.528055,-86.438888,2,1,100,3300,2013,100
2,2300,2019,10000,0,10,84,32,13,0,0,1,1,35.936389,-114.85444,2,1,41,3852,2013,100
1,1840,2021,5500,0,10,75,57,6,0,0,0,0,28.707474,-81.581964,2,1,29.29999924,3987,2013,100
1,1700,2017,13000,0,10,75,63,4,0,0,0,0,38.314723,-76.546669,2,1,20,4150,2013,100
2,300,2020,0,0,10,79,48,3,0,0,0,0,43.946666,-111.692222,2,1,49,4500,2013,100
1,1500,2014,0,0,10,50,12,3,0,0,0,1,43.201389,-71.501388,2,1,48,6005,2013,100
1,1730,2022,6000,0,10,24,8,12,20,0,0,0,40.423368,-86.903135,2,1,78,6600,2013,100
1,1900,2015,0,0,10,52,34,4,0,0,0,0,34.515277,-117.761947,2,1,14,2100,2014,100
2,2100,2015,0,0,10,79,54,8,0,0,0,2,42.460556,-71.517776,2,1,20,2770,2014,100
1,2230,2015,7000,7000,10,73,66,5,0,0,0,0,28.843334,-81.629997,2,1,25,3200,2014,100
2,2330,2014,10000,0,10,66,50,8,14,0,0,0,45.216388,-122.589996,2,1,48,3425,2014,100
1,2310,2015,1400,0,10,73,68,3,0,0,0,0,37.577499,-84.769447,2,1,6,5000,2014,100
1,2200,2021,5500,7000,10,52,36,5,0,0,0,0,43.892355,-69.93883,2,1,47,8000,2014,100
2,1545,2018,0,0,10,81,30,5,0,0,0,0,32.635276,-110.64167,2,1,7,4207,2015,100
1,1633,2016,3800,4700,10,88,64,5,0,0,0,0,38.632221,-77.87722,2,1,38,5000,2015,100
1,2152,2016,0,0,10,81,28,8,0,1,0,0,33.420555,-112.686111,2,1,69,5500,2015,100
2,1730,2015,0,0,10,77,68,0,0,0,0,2,30.289443,-87.671669,2,1,2,6962,2015,100
1,1430,2021,0,0,10,88,64,4,0,0,1,0,38.346014,-85.869725,2,1,1,600,2016,100
2,1500,2017,0,2100,10,88,77,8,0,0,1,1,26.291944,-81.11222,2,1,33,1200,2016,100
